               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  43,            0.054104,            0.020868,                   0,                   0,                   0,                   0,                   0,                   0,           0.0049075,                   0,            0.020465,           0.0074655,           0.0074655
                  44,            0.053645,            0.017468,                   0,                   0,                   0,                   0,                   0,                   0,           0.0049075,                   0,            0.018608,           0.0076077,           0.0076077
                  45,            0.065959,             0.02052,                   0,                   0,                   0,                   0,                   0,                   0,           0.0046574,                   0,            0.016749,           0.0077486,           0.0077486
                  46,            0.057115,            0.023511,                   0,                   0,                   0,                   0,                   0,                   0,           0.0046574,                   0,            0.014888,           0.0078883,           0.0078883
                  47,            0.054493,            0.020975,                   0,                   0,                   0,                   0,                   0,                   0,            0.004421,                   0,            0.013027,           0.0080266,           0.0080266
                  48,             0.05847,             0.01813,                   0,                   0,                   0,                   0,                   0,                   0,            0.004421,                   0,            0.011164,           0.0081635,           0.0081635
                  49,            0.052263,            0.016279,                   0,                   0,                   0,                   0,                   0,                   0,           0.0039742,                   0,           0.0092992,           0.0082992,           0.0082992
                  50,            0.062861,            0.019518,                   0,                   0,                   0,                   0,                   0,                   0,           0.0039742,                   0,             0.00835,             0.00835,             0.00835
                  51,            0.060505,            0.017091,                   0,                   0,                   0,                   0,                   0,                   0,           0.0037263,                   0,             0.00835,             0.00835,             0.00835
                  52,            0.062402,             0.02162,                   0,                   0,                   0,                   0,                   0,                   0,           0.0037263,                   0,            0.008317,            0.008317,            0.008317
                  53,            0.053543,            0.013842,                   0,                   0,                   0,                   0,                   0,                   0,           0.0034385,                   0,            0.008284,            0.008284,            0.008284
                  54,            0.062501,            0.020996,                   0,                   0,                   0,                   0,                   0,                   0,           0.0034385,                   0,            0.008251,            0.008251,            0.008251
                  55,            0.061181,            0.020781,                   0,                   0,                   0,                   0,                   0,                   0,           0.0033165,                   0,            0.008218,            0.008218,            0.008218
                  56,            0.046566,            0.019467,                   0,                   0,                   0,                   0,                   0,                   0,           0.0033165,                   0,            0.008185,            0.008185,            0.008185
                  57,            0.048732,            0.021427,                   0,                   0,                   0,                   0,                   0,                   0,           0.0032392,                   0,            0.008152,            0.008152,            0.008152
                  58,             0.05616,            0.019136,                   0,                   0,                   0,                   0,                   0,                   0,           0.0032392,                   0,            0.008119,            0.008119,            0.008119
                  59,            0.056848,            0.016179,                   0,                   0,                   0,                   0,                   0,                   0,           0.0032306,                   0,            0.008086,            0.008086,            0.008086
                  60,            0.040559,            0.017728,                   0,                   0,                   0,                   0,                   0,                   0,           0.0032306,                   0,            0.008053,            0.008053,            0.008053
                  61,            0.051538,            0.023801,                   0,                   0,                   0,                   0,                   0,                   0,           0.0032508,                   0,             0.00802,             0.00802,             0.00802
                  62,            0.045183,            0.016968,                   0,                   0,                   0,                   0,                   0,                   0,           0.0032508,                   0,            0.007987,            0.007987,            0.007987
                  63,            0.046773,            0.027227,                   0,                   0,                   0,                   0,                   0,                   0,           0.0033301,                   0,            0.007954,            0.007954,            0.007954
                  64,            0.049245,            0.027493,                   0,                   0,                   0,                   0,                   0,                   0,           0.0033301,                   0,            0.007921,            0.007921,            0.007921
                  65,             0.04481,            0.022174,                   0,                   0,                   0,                   0,                   0,                   0,           0.0032002,                   0,            0.007888,            0.007888,            0.007888
                  66,            0.044238,            0.017552,                   0,                   0,                   0,                   0,                   0,                   0,           0.0032002,                   0,            0.007855,            0.007855,            0.007855
                  67,            0.044188,            0.018637,                   0,                   0,                   0,                   0,                   0,                   0,           0.0034145,                   0,            0.007822,            0.007822,            0.007822
                  68,            0.049144,            0.017659,                   0,                   0,                   0,                   0,                   0,                   0,           0.0034145,                   0,            0.007789,            0.007789,            0.007789
                  69,            0.046056,            0.014413,                   0,                   0,                   0,                   0,                   0,                   0,           0.0032994,                   0,            0.007756,            0.007756,            0.007756
                  70,            0.057571,            0.016194,                   0,                   0,                   0,                   0,                   0,                   0,           0.0032994,                   0,            0.007723,            0.007723,            0.007723
                  71,            0.051804,            0.013559,                   0,                   0,                   0,                   0,                   0,                   0,           0.0036166,                   0,             0.00769,             0.00769,             0.00769
                  72,            0.055041,            0.015941,                   0,                   0,                   0,                   0,                   0,                   0,           0.0036166,                   0,            0.007657,            0.007657,            0.007657
                  73,            0.048891,            0.015668,                   0,                   0,                   0,                   0,                   0,                   0,           0.0033693,                   0,            0.007624,            0.007624,            0.007624
                  74,            0.047748,            0.019328,                   0,                   0,                   0,                   0,                   0,                   0,           0.0033693,                   0,            0.007591,            0.007591,            0.007591
                  75,            0.046167,             0.01658,                   0,                   0,                   0,                   0,                   0,                   0,           0.0033033,                   0,            0.007558,            0.007558,            0.007558
                  76,            0.047757,             0.01463,                   0,                   0,                   0,                   0,                   0,                   0,           0.0033033,                   0,            0.007525,            0.007525,            0.007525
                  77,            0.040058,            0.017267,                   0,                   0,                   0,                   0,                   0,                   0,           0.0034121,                   0,            0.007492,            0.007492,            0.007492
                  78,            0.051238,            0.018276,                   0,                   0,                   0,                   0,                   0,                   0,           0.0034121,                   0,            0.007459,            0.007459,            0.007459
                  79,            0.051619,             0.01939,                   0,                   0,                   0,                   0,                   0,                   0,           0.0032977,                   0,            0.007426,            0.007426,            0.007426
                  80,            0.042782,            0.016399,                   0,                   0,                   0,                   0,                   0,                   0,           0.0032977,                   0,            0.007393,            0.007393,            0.007393
                  81,            0.044389,              0.0172,                   0,                   0,                   0,                   0,                   0,                   0,           0.0032797,                   0,             0.00736,             0.00736,             0.00736
                  82,            0.046057,            0.014776,                   0,                   0,                   0,                   0,                   0,                   0,           0.0032797,                   0,            0.007327,            0.007327,            0.007327
                  83,            0.041332,            0.013965,                   0,                   0,                   0,                   0,                   0,                   0,           0.0034569,                   0,            0.007294,            0.007294,            0.007294
                  84,            0.050699,            0.014909,                   0,                   0,                   0,                   0,                   0,                   0,           0.0034569,                   0,            0.007261,            0.007261,            0.007261
                  85,            0.044114,            0.014888,                   0,                   0,                   0,                   0,                   0,                   0,           0.0033563,                   0,            0.007228,            0.007228,            0.007228
                  86,            0.046146,            0.015533,                   0,                   0,                   0,                   0,                   0,                   0,           0.0033563,                   0,            0.007195,            0.007195,            0.007195
                  87,            0.041496,            0.012173,                   0,                   0,                   0,                   0,                   0,                   0,           0.0032666,                   0,            0.007162,            0.007162,            0.007162
                  88,            0.052477,            0.015818,                   0,                   0,                   0,                   0,                   0,                   0,           0.0032666,                   0,            0.007129,            0.007129,            0.007129
                  89,            0.048399,            0.014901,                   0,                   0,                   0,                   0,                   0,                   0,           0.0029352,                   0,            0.007096,            0.007096,            0.007096
                  90,             0.04467,            0.011861,                   0,                   0,                   0,                   0,                   0,                   0,           0.0029352,                   0,            0.007063,            0.007063,            0.007063
                  91,            0.045441,             0.01327,                   0,                   0,                   0,                   0,                   0,                   0,           0.0030308,                   0,             0.00703,             0.00703,             0.00703
                  92,            0.040907,             0.02072,                   0,                   0,                   0,                   0,                   0,                   0,           0.0030308,                   0,            0.006997,            0.006997,            0.006997
                  93,            0.045702,             0.01766,                   0,                   0,                   0,                   0,                   0,                   0,           0.0030249,                   0,            0.006964,            0.006964,            0.006964
                  94,              0.0316,            0.012299,                   0,                   0,                   0,                   0,                   0,                   0,           0.0030249,                   0,            0.006931,            0.006931,            0.006931
                  95,            0.031517,            0.010017,                   0,                   0,                   0,                   0,                   0,                   0,           0.0032238,                   0,            0.006898,            0.006898,            0.006898
                  96,            0.047388,            0.017381,                   0,                   0,                   0,                   0,                   0,                   0,           0.0032238,                   0,            0.006865,            0.006865,            0.006865
                  97,            0.039922,            0.011516,                   0,                   0,                   0,                   0,                   0,                   0,           0.0030359,                   0,            0.006832,            0.006832,            0.006832
                  98,            0.036035,            0.014553,                   0,                   0,                   0,                   0,                   0,                   0,           0.0030359,                   0,            0.006799,            0.006799,            0.006799
                  99,            0.036519,              0.0133,                   0,                   0,                   0,                   0,                   0,                   0,           0.0032276,                   0,            0.006766,            0.006766,            0.006766
                 100,            0.032935,            0.011845,                   0,                   0,                   0,                   0,                   0,                   0,           0.0032276,                   0,            0.006733,            0.006733,            0.006733
                 101,            0.039646,           0.0090897,                   0,                   0,                   0,                   0,                   0,                   0,           0.0030767,                   0,              0.0067,              0.0067,              0.0067
                 102,            0.033845,            0.015289,                   0,                   0,                   0,                   0,                   0,                   0,           0.0030767,                   0,            0.006667,            0.006667,            0.006667
                 103,            0.039842,            0.014201,                   0,                   0,                   0,                   0,                   0,                   0,           0.0031192,                   0,            0.006634,            0.006634,            0.006634
